class,age,sex,survived
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
